DT,diff_mean_1
2017-01-01 00:00:00,
2017-01-01 01:00:00,-2899.4147955555563
2017-01-01 02:00:00,-1896.2148566666656
2017-01-01 03:00:00,-1058.478030555556
2017-01-01 04:00:00,-399.93640055555625
2017-01-01 05:00:00,185.8465988888911
2017-01-01 06:00:00,495.50565833332985
2017-01-01 07:00:00,-2738.4388383333335
2017-01-01 08:00:00,330.2159850000007
2017-01-01 09:00:00,2404.1285288888903
2017-01-01 10:00:00,2657.9706455555533
2017-01-01 11:00:00,1780.259170555557
2017-01-01 12:00:00,623.12421888889
2017-01-01 13:00:00,325.95108055555465
2017-01-01 14:00:00,-345.7507188888885
2017-01-01 15:00:00,-445.11744722222284
2017-01-01 16:00:00,-304.60640388888714
2017-01-01 17:00:00,5057.2942772222195
2017-01-01 18:00:00,3972.1042155555588
2017-01-01 19:00:00,495.77113055555674
2017-01-01 20:00:00,357.9353077777705
2017-01-01 21:00:00,-1125.7515688888852
2017-01-01 22:00:00,-2757.3886983333323
2017-01-01 23:00:00,-3621.438708333335
2017-01-02 00:00:00,-3520.489499444444
2017-01-02 01:00:00,-2231.150572222221
2017-01-02 02:00:00,-1185.0297516666687
2017-01-02 03:00:00,-529.7655988888873
2017-01-02 04:00:00,-145.96281499999895
2017-01-02 05:00:00,626.9601888888865
2017-01-02 06:00:00,1502.986789444447
2017-01-02 07:00:00,-613.967017222225
2017-01-02 08:00:00,424.7948372222236
2017-01-02 09:00:00,1164.2878972222206
2017-01-02 10:00:00,1827.1692694444464
2017-01-02 11:00:00,1283.3432205555582
2017-01-02 12:00:00,721.6792033333295
2017-01-02 13:00:00,90.68733777778107
2017-01-02 14:00:00,-318.6885411111143
2017-01-02 15:00:00,-76.8338572222201
2017-01-02 16:00:00,55.91414888888539
2017-01-02 17:00:00,5654.095320000004
2017-01-02 18:00:00,3431.8621999999996
2017-01-02 19:00:00,-113.87158222222206
2017-01-02 20:00:00,-126.6852866666668
2017-01-02 21:00:00,-1061.0139416666716
2017-01-02 22:00:00,-2706.3690594444415
2017-01-02 23:00:00,-3930.8260516666705
